SOL·LICITUD,NOM,TRAMITAT,POTÈNCIA (MW),MUNICIPI,CODI  MUNICIPI,COMARCA,CODI COMARCA,VEGUERIA,SOL·LICITANT,ESTAT,TRÀMIT AMBIENTAL,ESTAT AMBIENTAL,DATA PONÈNCIA,SENTIT ACORD,NÚM. AEROGENERADORS,AEROGENERADORS AL MUNICIPI
FUE-2020-01840030,Parc eòlic Els Gorgs,Catalunya,49.5,"Albi, l'",250096,Garrigues,18,Lleida,"Energia Inagotable de Alfa Centauri, SL",En tramitació,Supòsit d'AIA,Informació Pública (DOGC),,,9,6
FUE-2020-01840030,Parc eòlic Els Gorgs,Catalunya,0,"Vilosell, el",252537,Garrigues,18,Lleida,"Energia Inagotable de Alfa Centauri, SL",En tramitació,Supòsit d'AIA,Informació Pública (DOGC),,,0,3
FUE-2021-01927521,Parc eòlic Pla del Cirerer,Catalunya,30.5,Maials,251333,Segrià,33,Lleida,"Energía Inagotable de Caelum, SL",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,19/07/2024,DIA Favorable,5,5
FUE-2021-02161860,Parc eòlic Anoia i Segarra III,Catalunya,35.7,Castellfollit de Riubregós,080608,Anoia,06,Catalunya Central,"Desarrollos Eólicos Anoia y Segarra III, SLU",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,07/09/2023,DIA Favorable,6,3
FUE-2021-02161860,Parc eòlic Anoia i Segarra III,Catalunya,0,Calonge de Segarra,080364,Anoia,06,Catalunya Central,"Desarrollos Eólicos Anoia y Segarra III, SLU",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,07/09/2023,DIA Favorable,0,3
FUE-2021-02180749,Parc eòlic Sant Joan,Catalunya,48.8,"Pobla de Cérvoles, la",251692,Garrigues,18,Lleida,"ENEL GREEN POWER ESPAÑA, S.L",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,21/09/2023,DIA Favorable,8,8
FUE-2021-02180773,Parc eòlic La Comella,Catalunya,48.8,"Albi, l'",250096,Garrigues,18,Lleida,"PARQUE EÓLICO MUNIESA, S.L",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,21/09/2023,DIA Favorable,8,4
FUE-2021-02180773,Parc eòlic La Comella,Catalunya,0,"Pobla de Cérvoles, la",251692,Garrigues,18,Lleida,"PARQUE EÓLICO MUNIESA, S.L",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,21/09/2023,DIA Favorable,0,3
FUE-2021-02180773,Parc eòlic La Comella,Catalunya,0,Cervià de les Garrigues,250735,Garrigues,18,Lleida,"PARQUE EÓLICO MUNIESA, S.L",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,21/09/2023,DIA Favorable,0,1
FUE-2021-02180781,Parc eòlic Les Covasses,Catalunya,48.96,"Pobla de Cérvoles, la",251692,Garrigues,18,Lleida,"ARANORT DESARROLLOS, S.L",En tramitació,Supòsit d'AIA,En redacció DIA/IIA,,,8,8
FUE-2021-02275029,Parc eòlic Tivissa III,Catalunya,43.2,Tivissa,431508,Ribera d'Ebre,30,Terres de l'Ebre,"DESARROLLOS EÓLICOS TIVISSA III, SLU",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,26/01/2024,DIA Favorable,6,6
FUE-2021-02275086,Parc eòlic Tivissa IV,Catalunya,50,Tivissa,431508,Ribera d'Ebre,30,Terres de l'Ebre,"DESARROLLOS EÓLICOS TIVISSA IV, SLU",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,26/01/2024,DIA Favorable,7,7
FUE-2022-02625398,Parc eòlic Les Crestes,Catalunya,49,Batea,430228,Terra Alta,37,Terres de l'Ebre,"ENEL GREEN POWER ESPAÑA, S.L.U.",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,19/07/2024,DIA Favorable,10,10
FUE-2022-02642588,Parc eòlic El Calvari,Catalunya,39.2,"Pobla de Massaluca, la",431107,Terra Alta,37,Terres de l'Ebre,"ENEL GREEN POWER ESPAÑA, S.L.U.",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,19/07/2024,DIA Favorable,8,7
FUE-2022-02642588,Parc eòlic El Calvari,Catalunya,0,Batea,430228,Terra Alta,37,Terres de l'Ebre,"ENEL GREEN POWER ESPAÑA, S.L.U.",En tramitació,Supòsit d'AIA,DIA/IIA Finalitzats,19/07/2024,DIA Favorable,0,1
