SOL·LICITUD,NOM,TRAMITAT,POTÈNCIA (MW),SUPERFÍCIE (Ha),MUNICIPI,CODI  MUNICIPI,COMARCA,CODI COMARCA,VEGUERIA,SUPERFÍCIE AL MUNICIPI (Ha),SOL·LICITANT,ESTAT,TIPUS DE SÒL,TRÀMIT AMBIENTAL,ESTAT AMBIENTAL,DATA PONÈNCIA,SENTIT ACORD
PFot-793 AC,PSFV BCN SOLAR 2,Ministerio,57.56,145,Passanant i Belltall,431016,Conca de Barberà,16,Camp de Tarragona,80,"EL VIAJE COMIENZA AQUÍ, S.L.",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informat,,
PFot-793 AC,PSFV BCN SOLAR 2,Ministerio,0,0,Montblanc,430862,Conca de Barberà,16,Camp de Tarragona,37,"EL VIAJE COMIENZA AQUÍ, S.L.",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informat,,
PFot-793 AC,PSFV BCN SOLAR 2,Ministerio,0,0,Vallfogona de Riucorb,431592,Conca de Barberà,16,Camp de Tarragona,14,"EL VIAJE COMIENZA AQUÍ, S.L.",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informat,,
PFot-793 AC,PSFV BCN SOLAR 2,Ministerio,0,0,Ciutadilla,250740,Urgell,38,Lleida,10,"EL VIAJE COMIENZA AQUÍ, S.L.",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informat,,
PFot-793 AC,PSFV BCN SOLAR 2,Ministerio,0,0,Vallbona de les Monges,252385,Urgell,38,Lleida,4,"EL VIAJE COMIENZA AQUÍ, S.L.",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,Informat,,
PFot-793 AC,PSFV BCN SOLAR 1,Ministerio,115.12,258,Passanant i Belltall,431016,Conca de Barberà,16,Camp de Tarragona,168,"PASOS AGIGANTADOS, S.L.",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,,DIA Favorable
PFot-793 AC,PSFV BCN SOLAR 1,Ministerio,0,0,Vallbona de les Monges,252385,Urgell,38,Lleida,54,"PASOS AGIGANTADOS, S.L.",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,,DIA Favorable
PFot-793 AC,PSFV BCN SOLAR 1,Ministerio,0,0,Forès,430614,Conca de Barberà,16,Camp de Tarragona,34,"PASOS AGIGANTADOS, S.L.",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,,DIA Favorable
PFot-793 AC,PSFV BCN SOLAR 1,Ministerio,0,0,Solivella,431476,Conca de Barberà,16,Camp de Tarragona,2,"PASOS AGIGANTADOS, S.L.",En tramitació,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,,DIA Favorable
FUE-2020-01821772,PSFV Macarelleta Solar,Catalunya,47.5,90,"Albi, l'",250096,Garrigues,18,Lleida,90,"MACARELLETA SOLAR, S.L.",No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,19/01/2023,DIA Desfavorable
FUE-2020-01833323,PSFV Llau dels Juncs,Catalunya,40,62.91,Isona i Conca Dellà,251155,Pallars Jussà,25,Alt Pirineu i Aran,62.91,"Energies Renovables Terra Ferma, SL",No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,16/02/2023,DIA Desfavorable
FUE-2021-01931713,PSFV Geoide III,Catalunya,47.5,85,"Pla de Santa Maria, el",431080,Alt Camp,01,Camp de Tarragona,85,"Energia Geoide III, SL",No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,06/10/2022,DIA Desfavorable
FUE-2021-01991170,PSFV Santa Llogaia 3,Catalunya,43,56.8,Ordis,171156,Alt Empordà,02,Girona,32.8,"Solar Growth, SL",No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,15/06/2023,DIA Desfavorable
FUE-2021-01991170,PSFV Santa Llogaia 3,Catalunya,0,0,Navata,171117,Alt Empordà,02,Girona,24,"Solar Growth, SL",No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,15/06/2023,DIA Desfavorable
FUE-2021-02049430,PSFV Tirasol 1,Catalunya,32.63,77.34,Tivissa,431508,Ribera d'Ebre,30,Terres de l'Ebre,77.34,"Centauri Energías Fotovoltaicas, S.L",No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,19/07/2023,DIA Desfavorable
FUE-2021-02050090,PSFV Greentarraco 2,Catalunya,40.51,71.6,Tivissa,431508,Ribera d'Ebre,30,Terres de l'Ebre,71.6,Greencells Producción Fotovoltaica 3 S.L,No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,05/10/2023,DIA Desfavorable
FUE-2021-02050397,PSFV Amepersol 1,Catalunya,27.62,48.5,"Perelló, el",431042,Baix Ebre,09,Terres de l'Ebre,48.5,UNOSIG ENERGÍAS S.L.,No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,03/08/2023,DIA Favorable
FUE-2021-02050504,PSFV Amepersol 2,Catalunya,40,75.83,Rasquera,431212,Ribera d'Ebre,30,Terres de l'Ebre,75.83,UNOSIG ENERGÍAS S.L.,No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,03/08/2023,DIA Desfavorable
FUE-2021-02050546,PSFV Raspersolar 2,Catalunya,21.8,33.4,"Ametlla de Mar, l'",430136,Baix Ebre,09,Terres de l'Ebre,33.4,NEOSOL TECNOLOGIA Y ENERGIA S.L.,No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,05/10/2023,DIA Desfavorable
FUE-2021-02050624,PSFV Raspersolar-1,Catalunya,40,47.67,"Ametlla de Mar, l'",430136,Baix Ebre,09,Terres de l'Ebre,47.67,NEOSOL TECNOLOGIA Y ENERGIA SL,No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
